id,name,party,sector,country
500,Folge 500,NA,NA,NA
lk,Lars Klingbeil,SPD,Politik,Deutschland
sw,Sahra Wagenknecht ,Linke,Politik,Deutschland
ul,Ursula von der Leyen ,CDU,Politik,Deutschland
nr,Norbert Röttgen,CDU,Politik,Deutschland
cs,Constanze Stelzenmüller,NA,Jura,Deutschland
501,Folge 501,NA,NA,NA
cl,Christian Lindner,FDP,Politik,Deutschland
ks,Karl Schlögel,NA,Geschichte,Deutschland
lm,Ljudmyla Melnyk,NA,Wissenschaft,Ukraine
kd,Kristina Dunz,NA,Journalismus,Deutschland
el,Egils Levits,NA,Politik,Lettland
ab,Annalena Baerbock,Grüne,Politik,Deutschland
ft,Frans Timmermans,NA,Politik,Niederlande
am,Andrij Melnyk,NA,Politik,Ukraine
al,Alexander Graf Lambsdorff,FDP,Politik,Deutschland
er,Egon Ramms,NA,Militär,Deutschland
rh,Robert Habeck,Grüne,Politik,Deutschland
cm,Claudia Major,NA,Wissenschaft,Deutschland
kp,Katja Petrowskaja,NA,Journalismus,Ukraine
rk,Roderich Kiesewetter,CDU,Politik,Deutschland
502,Folge 502,NA,NA,NA
503,Folge 503,NA,NA,NA
SPD,SPD,NA,NA,NA
CDU,CDU,NA,NA,NA
Grüne,Die Grünen ,NA,NA,NA
FDP,FDP,NA,NA,NA
Linke,Die Linke,NA,NA,NA
